Time,RHip_FE,RHip_AA,RKnee_FE,RAnkle_FE,L5S1_FE,RShoulder_AA,RShoulder_RIE,RElbow_FE,RElbow_PS,RWrist_FE
0.0,0.031317228,-0.108632245,0.054231311,-0.069844532,,,,,,
0.0166667,0.045064268,-0.107363975,0.053466276,-0.064207749,0.136186719,-1.021581924,1.299439691,1.001177797,1.817166563,0.360136587
0.0333333,0.035103275,-0.110399578,0.064216911,-0.053011997,0.142974374,-1.029607065,1.266885058,1.004888199,1.828809974,0.349517793
0.05,0.038402325,-0.103585241,0.066622675,-0.053056302,0.143071745,-1.034984073,1.250590442,1.015109286,1.83757079,0.310591336
0.0666667,0.034963842,-0.096489322,0.06310539,-0.057702627,0.14052426,-1.038666672,1.251984466,1.022083905,1.839075224,0.302566242
0.0833333,0.026788238,-0.093763109,0.059186465,-0.055176754,0.126894108,-1.040664257,1.251045121,1.033825183,1.868219846,0.308869805
0.1,0.046935573,-0.09066574,0.054762439,-0.047637878,0.151030856,-1.043896481,1.238888601,1.0362307,1.870520115,0.297251845
0.1166667,0.039303528,-0.083019751,0.063159751,-0.044619887,0.15647929,-1.044633213,1.230397954,1.032929662,1.862405178,0.274063342
0.1333333,0.036954416,-0.074206365,0.072836696,-0.047873057,0.159698538,-1.047512898,1.230630264,1.030336883,1.852976801,0.257543677
0.15,0.028170537,-0.067893004,0.074816288,-0.047005569,0.147339272,-1.050033993,1.22616424,1.036200158,1.834912537,0.268318931
0.1666667,0.024748068,-0.063505807,0.066926664,-0.045858737,0.142537818,-1.051555848,1.217279324,1.032114007,1.820575835,0.278433529
0.1833333,0.019692663,-0.063234442,0.061732126,-0.041613652,0.141716157,-1.061442871,1.20551576,1.038257919,1.796108,0.272141418
0.2,0.009140647,-0.063902264,0.060428862,-0.032685799,0.1369725,-1.070223013,1.174096798,1.033940799,1.764839647,0.256276164
0.2166667,0.004892612,-0.06410417,0.062332331,-0.027443469,0.140947381,-1.059032055,1.144907338,1.027305634,1.754602438,0.263624005
0.2333333,-0.002821538,-0.061122323,0.073097715,-0.031597685,0.140155441,-1.062969946,1.112969965,1.029146777,1.774984029,0.287989195
0.25,0.007722115,-0.056032898,0.079219899,-0.029523246,0.150500121,-1.049379213,1.091310868,1.013301264,1.774284015,0.196976856
0.2666667,0.031027162,-0.052506331,0.074505615,-0.035698991,0.162203842,-1.061437993,1.09968045,1.000680568,1.746295091,0.118958828
0.2833333,0.03129513,-0.055559538,0.063806148,-0.032535422,0.149645546,-1.039079921,1.087563899,0.980597418,1.708986624,0.059230219
0.3,0.007058829,-0.052974479,0.061036392,-0.030027056,0.117074466,-1.032029721,1.049966971,0.957336678,1.699478849,0.217175606
0.3166667,-0.008102713,-0.046083402,0.069741183,-0.022769217,0.11054593,-1.023873537,0.963177873,0.936936,1.716442941,0.252167584
0.3333333,-0.064278737,-0.044770552,0.076627201,-0.017530395,0.063237236,-1.001882188,0.898905327,0.882148069,1.699094283,0.255956284
0.35,-0.036062831,-0.038463021,0.061028731,-0.02402336,0.080690313,-0.992442958,0.873122763,0.829276609,1.623971092,0.196876925
0.3666667,-0.041226363,-0.032843853,0.058542926,-0.027351431,0.080736136,-0.959705102,0.866981696,0.769816227,1.562751519,0.112372838
0.3833333,-0.041726028,-0.033905449,0.05555426,-0.013691477,0.084265142,-0.943765374,0.834179998,0.721786445,1.560238244,0.04066373
0.4,-0.065786708,-0.030067602,0.05842262,-0.004843997,0.061225994,-0.919324162,0.842825874,0.675948443,1.581784834,-0.21617173
0.4166667,-0.069012186,-0.0300584,0.066138578,-0.012208089,0.058908388,-0.891390563,0.760170811,0.635408269,1.589497464,-0.194451202
0.4333333,-0.045410402,-0.023981096,0.071061807,-0.011306896,0.08324273,-0.85414531,0.656301182,0.571879015,1.577549706,-0.183847317
0.45,-0.04110537,-0.014533255,0.077765095,-0.017194681,0.080537417,-0.811014614,0.607132919,0.509441197,1.487455855,-0.229141987
0.4666667,-0.067689111,-0.006692091,0.087273559,-0.029567366,0.059593106,-0.78949408,0.638569112,0.463942099,1.357229009,-0.416427909
0.4833333,-0.070946798,-0.001127277,0.088803615,-0.031249278,0.053500705,-0.75985063,0.522846563,0.410695471,1.351833718,-0.384249924
0.5,-0.067821959,0.002066322,0.082074411,-0.025564059,0.046460152,-0.7234997,0.437924736,0.349160241,1.347937458,-0.353894447
0.5166667,-0.060863592,0.00365046,0.081915977,-0.030224023,0.057529186,-0.679472369,0.312837218,0.297688563,1.318319807,-0.304096386
0.5333333,-0.077970923,0.000325765,0.085843477,-0.028350253,0.030293168,-0.661253375,0.304044581,0.260325499,1.213780764,-0.291304605
0.55,-0.08176748,-0.002222711,0.087266898,-0.032672634,0.017354138,-0.65940389,0.3520091,0.241608451,0.915381189,-0.288312679
0.5666667,-0.066777813,0.000191466,0.088229673,-0.04236735,0.018783589,-0.652166671,0.262018935,0.217699268,0.86992985,-0.229727565
0.5833333,-0.053999674,-0.003474682,0.087196296,-0.036630921,0.035830112,-0.645679476,0.284992303,0.192465841,0.762031018,-0.237007901
0.6,-0.020544259,-0.005596754,0.078922836,-0.043552754,0.073571054,-0.645738477,0.342087039,0.168778084,0.711536075,-0.229981331
0.6166667,-0.056658668,-0.006101752,0.087304791,-0.046433242,0.04401153,-0.6368491,0.316757974,0.139666681,0.796773352,-0.109305221
0.6333333,-0.052434003,-0.005813962,0.087267494,-0.046770733,0.036195416,-0.629538835,0.268747439,0.106205238,0.855945259,0.074221897
0.65,-0.051054646,-0.008644652,0.087284318,-0.045060239,0.026431363,-0.627390071,0.294671489,0.080974349,0.846346825,0.192537642
0.6666667,-0.058895728,-0.017820532,0.089418438,-0.038872267,0.015045769,-0.615685356,0.341256859,0.076723677,0.852913378,0.220282329
0.6833333,-0.067024372,-0.034296547,0.093891476,-0.015918939,0.010963921,-0.60475184,0.447324257,0.079000701,0.835625809,0.211346187
0.7,-0.001445912,-0.026357945,0.087266462,-0.012677886,0.070274916,-0.591917983,0.408421804,0.077683735,0.905053066,0.261951158
0.7166667,7.52e-05,-0.029449744,0.087266455,-0.013828746,0.070995454,-0.587611717,0.427376362,0.0678999,0.968734992,0.302953166
0.7333333,0.014946685,-0.031866946,0.087266459,-0.021283321,0.083823687,-0.583216818,0.444650703,0.072899777,0.953090841,0.294370225
0.75,0.005569089,-0.033829818,0.087267569,-0.018057733,0.068831376,-0.581264872,0.394759972,0.083002108,0.966340793,0.299948544
0.7666667,0.011557233,-0.035408594,0.087280401,-0.012110733,0.070928034,-0.596271333,0.390190383,0.10741103,0.984470748,0.281409562
0.7833333,0.005325247,-0.035786818,0.087266066,-0.010811316,0.06608895,-0.606157809,0.380812501,0.121970047,0.986250818,0.278342535
0.8,-0.039643652,-0.042226714,0.089357229,-0.005918345,0.020790823,-0.597874398,0.440469582,0.118664178,0.912709027,0.245963132
0.8166667,0.019964469,-0.036799015,0.085127167,-0.025481186,0.081404625,-0.597543725,0.36745069,0.110868462,0.937740444,0.259374771
0.8333333,0.002803998,-0.040168465,0.087292473,-0.023275758,0.068937316,-0.59159137,0.420234351,0.099845925,0.909359513,0.232413201
0.85,-0.003183089,-0.045946869,0.089978136,-0.021882117,0.077906068,-0.59393513,0.358322819,0.086885278,0.96180517,0.252487379
0.8666667,0.006244029,-0.050566176,0.087692934,-0.016485615,0.086126952,-0.58535739,0.316181198,0.07146439,1.002764243,0.241559048
0.8833333,-0.005802533,-0.051595918,0.087421869,-0.012159235,0.081555065,-0.587996799,0.311798953,0.059479107,1.021478661,0.241014702
0.9,-0.026553619,-0.047429773,0.08732109,-0.004487176,0.06197489,-0.589253787,0.398596835,0.065083942,0.921298479,0.202597076
0.9166667,0.01137681,-0.046485984,0.087266459,-0.005971842,0.088351535,-0.593758925,0.414618061,0.069984342,0.969290144,0.190114188
0.9333333,-0.006375303,-0.053435986,0.087266463,-0.007845652,0.072959641,-0.605181436,0.593281668,0.08066967,0.750323105,0.127323302
0.95,0.010455164,-0.052802598,0.087352727,-0.021863017,0.088649149,-0.599541425,0.478142875,0.085156191,0.888148472,0.124665556
0.9666667,-0.008840638,-0.052227678,0.087266456,-0.030693473,0.078947443,-0.601094302,0.395076962,0.083941993,0.957117137,0.152166167
0.9833333,-0.016551514,-0.058319672,0.087802624,-0.043668778,0.069613555,-0.601933432,0.436710693,0.074239473,1.007796641,0.149183992
1.0,-0.014925056,-0.068174793,0.078823672,-0.059111293,0.082630796,-0.608273107,0.383104913,0.060694812,1.071041607,0.223163863
1.0166667,-0.009704011,-0.082786293,0.068179125,-0.051888898,0.086242815,-0.60540896,0.486017257,0.037801076,1.041869551,0.251419834
1.0333333,-0.018089139,-0.092852767,0.066632678,-0.051587851,0.087515627,-0.611608291,0.78407923,0.069594696,0.607228446,0.165652937
1.05,-0.10276119,-0.091004112,0.088692649,-0.050644287,0.026695009,-0.619840497,0.647216123,0.074572857,0.872934706,0.16823697
1.0666667,-0.019350081,-0.094435584,0.063438641,-0.0383684,0.092522224,-0.627133525,0.602761236,0.067300122,1.065714489,0.186437006
1.0833333,-0.029128297,-0.098544857,0.050235185,-0.028855767,0.094384274,-0.61953617,0.444077171,0.075408316,1.151840613,0.241169231
1.1,-0.010695199,-0.105551376,0.015315478,-0.01675221,0.092526476,-0.625991294,0.57634925,0.104100245,1.127138755,0.176638905
1.1166667,-0.018804225,-0.123772409,-0.022471678,-0.008286589,0.07912889,-0.64372432,0.542652897,0.145220498,1.163277507,0.166534494
1.1333333,-0.020759373,-0.150997786,-0.064929374,0.001904715,0.063502803,-0.658764247,0.747920337,0.159313839,1.005787625,0.065398109
1.15,-0.008640003,-0.176366828,-0.103330863,0.01276693,0.073808008,-0.656859769,0.675924536,0.161703575,1.137540743,0.127913413
1.1666667,0.014571768,-0.209716833,-0.152476735,0.024540527,0.083252925,-0.655918684,0.782265613,0.174708158,0.955116452,0.037612475
1.1833333,0.055885114,-0.233295494,-0.216528326,0.024864672,0.082376112,-0.666112437,0.725344297,0.183072362,1.031358826,0.09250393
1.2,0.068164779,-0.251141646,-0.287316569,0.009117571,0.047014103,-0.671995912,0.750107096,0.167547735,1.093201382,0.176246904
1.2166667,0.072141296,-0.2744481,-0.362334978,-0.01646823,0.00851135,-0.661832288,0.728226625,0.171128994,1.18496927,0.205444898
