Time,RHip_FE,RHip_AA,RKnee_FE,RAnkle_FE,L5S1_FE,RShoulder_AA,RShoulder_RIE,RElbow_FE,RElbow_PS,RWrist_FE
0,0.098,-3.006,2.456,-0.459,1.004,2.702,2.662,0.225,1.187,N/A
0.0166667,-1.692,-0.986,2.873,0.21,0.203,2.175,-0.655,-0.04,-0.95,N/A
0.0333333,-0.117,-1.16,0.879,-0.238,-1.18,-0.363,-1.836,-3.029,-2.957,N/A
0.05,1.187,2.859,3.046,0.21,0.066,2.791,-0.359,-2.464,2.97,N/A
0.0666667,1.511,0.378,2.906,1.522,2.181,-1.664,-2.636,1.893,2.936,N/A
0.0833333,0.664,2.957,0.981,-0.994,-3.063,0.542,-1.421,0.466,2.419,N/A
0.1,1.428,1.282,0.784,0.158,0.677,-1.904,-2.046,-2.758,1.009,N/A
0.1166667,-0.118,-1.427,-1.711,-1.425,1.71,1.479,-0.753,-0.774,2.321,N/A
0.1333333,-2.636,-0.28,1.256,1.29,-1.096,-1.12,-0.428,1.472,2.899,N/A
0.15,-1.117,-0.137,2.162,-2.628,-0.269,-0.645,-0.32,2.876,1.481,N/A
0.1666667,-2.989,-1.427,0.013,-1.585,-1.218,1.116,2.441,-2.234,-0.717,N/A
0.1833333,-2.236,1.295,0.181,1.494,-0.951,-1.152,-0.516,0.465,2.873,N/A
0.2,0.444,0.592,-2.845,-1.219,1.513,-0.867,-3.05,-2.44,-0.272,N/A
0.2166667,0.631,-1.041,-0.887,-2.467,-1.177,2.246,-1.812,-1.011,-1.912,N/A
0.2333333,-2.209,0.343,2.562,-2.857,2.942,0.498,-0.841,-0.659,-1.077,N/A
0.25,0.029,1.356,-0.677,-2.926,0.444,-0.701,0.455,-1.542,-2.541,N/A
0.2666667,-1.356,0.751,2.484,0.909,-3.11,1.587,-0.005,1.939,0.041,N/A
0.2833333,-1.765,0.363,0.208,2.86,2.506,-1.067,0.907,2.785,-2.69,N/A
0.3,0.668,-2.098,0.358,-1.253,-0.876,1.774,1.606,-0.238,0.849,N/A
0.3166667,1.564,-1.491,-1.905,-0.453,-0.479,-2.495,-0.169,-0.748,0.029,N/A
0.3333333,-1.103,1.481,-0.914,0.503,0.878,2.758,-0.029,-0.38,-2.389,N/A
0.35,1.488,-0.242,1.816,-0.9,0.974,-0.727,-2.2,-1.254,-1.581,N/A
0.3666667,-1.676,1.865,2.005,-1.162,0.869,1.083,-2.522,-1.711,0.014,N/A
0.3833333,2.623,2.185,0.541,0.182,-2.809,-1.856,1.504,2.213,-0.055,N/A
0.4,-2.901,-2.579,-1.32,-1.033,-2.815,-2.066,1.229,-0.38,-3.077,N/A
