participant,task,joint,method,bias,conf_interval,r_squared,rmsd
participant_01,gait,RHip_FE,Method1,0.05825761491128996,0.010555884879281502,0.9720247547903181,0.07933774805337615
participant_01,gait,RHip_FE,Method2,-0.0020795815302029268,0.01243073396802582,0.9720266274254588,0.06345619717768033
participant_01,gait,RHip_AA,Method1,-0.009499294451650594,0.01463432386751875,0.5819999064243826,0.07526676908799798
participant_01,gait,RHip_AA,Method2,0.06624389175692387,0.01639753415263044,0.42867132016156473,0.10671174942513487
participant_01,gait,RKnee_FE,Method1,-0.13488488353298483,0.006927611988504045,0.9930750983667674,0.13943886811522915
participant_01,gait,RKnee_FE,Method2,-0.11094703859776896,0.016800028646703734,0.9545109570273692,0.14020060343868854
participant_01,gait,RAnkle_FE,Method1,0.2006100708417763,0.009550976506827808,0.864839140883598,0.20644360479794344
participant_01,gait,RAnkle_FE,Method2,-0.062420933942275,0.01690770789168238,0.7106231446350822,0.10647919471003452
participant_01,gait,L5S1_FE,Method1,-0.13687232455362572,0.007237415206319481,0.061523570438625,0.1417657654800831
participant_01,gait,L5S1_FE,Method2,,,,
participant_01,gait,RShoulder_AA,Method1,-0.06222937252584714,0.003007067931726844,0.7239158476845591,0.0640927249704892
participant_01,gait,RShoulder_AA,Method2,-0.04019317385377875,0.004735944862899176,0.5123712450433833,0.04689713232120828
participant_01,gait,RShoulder_RIE,Method1,-0.007607579694043157,0.012672506756929467,0.630646005614987,0.06510167372239335
participant_01,gait,RShoulder_RIE,Method2,-0.11362982228605029,0.03272295374777632,0.32880878882981723,0.20195376473520982
participant_01,gait,RElbow_FE,Method1,-0.11644550009888821,0.0034580579104907263,0.9844370193690333,0.11777451051525294
participant_01,gait,RElbow_FE,Method2,-0.14695360449532993,0.00608658672183833,0.9571273301820694,0.15019891362010412
participant_01,gait,RElbow_PS,Method1,0.07947643368252506,0.014003150455094782,0.5418441381177619,0.10686833411096981
participant_01,gait,RElbow_PS,Method2,,,,
participant_01,gait,RWrist_FE,Method1,-0.14885771978363413,0.003873494737091844,0.7620159224807881,0.15016386438516027
participant_01,gait,RWrist_FE,Method2,,,,
participant_01,sit-stand,RHip_FE,Method1,0.30376469442747167,0.03179439917013298,0.9434895276277546,0.3443648135336254
participant_01,sit-stand,RHip_FE,Method2,0.19420882176398005,0.02545466559221743,0.9567639327134159,0.2336310687620676
participant_01,sit-stand,RHip_AA,Method1,-0.04485252256528564,0.007031465420118281,0.010430633512032772,0.057434760788166284
participant_01,sit-stand,RHip_AA,Method2,-0.0040102801936096315,0.011942406176351722,0.10361502458316585,0.06106247371226532
participant_01,sit-stand,RKnee_FE,Method1,-0.21313326643058667,0.008876108088662913,0.9989801696192203,0.2178913378859277
participant_01,sit-stand,RKnee_FE,Method2,-0.12022384790649582,0.00575021236688292,0.9990937474935663,0.12375169163322806
participant_01,sit-stand,RAnkle_FE,Method1,0.29466398860420995,0.0025816497368100597,0.9460511368247484,0.2949582333069581
participant_01,sit-stand,RAnkle_FE,Method2,-0.04721538083671579,0.0065065689410891605,0.8947354551766066,0.057717574538592775
participant_01,sit-stand,L5S1_FE,Method1,0.07529646575052829,0.028484761828937905,0.7872077383351855,0.1636780009765202
participant_01,sit-stand,L5S1_FE,Method2,,,,
participant_01,sit-stand,RShoulder_AA,Method1,-0.014305721187398172,0.0032884587378972053,0.865948627953617,0.02204880797055539
participant_01,sit-stand,RShoulder_AA,Method2,-0.004254436124413233,0.003889773366065203,0.6086155701121413,0.020296682215997536
participant_01,sit-stand,RShoulder_RIE,Method1,-0.05458709264330718,0.006283718329644206,0.37878981860729855,0.06330545514515276
participant_01,sit-stand,RShoulder_RIE,Method2,-0.23052639702404737,0.034028794154495785,0.028399741748116436,0.2885914728591383
participant_01,sit-stand,RElbow_FE,Method1,-0.13091197745985256,0.004735081527105332,0.31338999233063425,0.13312243534571602
participant_01,sit-stand,RElbow_FE,Method2,-0.18343919181021562,0.004819631271335083,0.37832581439970947,0.18507999081965806
participant_01,sit-stand,RElbow_PS,Method1,0.10533012039513755,0.016520186492061793,0.17604859615900514,0.13490246954766943
participant_01,sit-stand,RElbow_PS,Method2,,,,
participant_01,sit-stand,RWrist_FE,Method1,-0.09549710974756492,0.007375062384401498,0.6255181710321385,0.10264284933112121
participant_01,sit-stand,RWrist_FE,Method2,,,,
